gps_seconds[s]	file_name	latitude[deg]	longitude[deg]	altitude_ellipsoidal[m]	roll[deg]	pitch[deg]	heading[deg]	projectedX[m]	projectedY[m]	projectedZ[m]
1271067822.00200	pano_000000_000000	55.7164299	12.5807628	35.381	1.51045	-0.94557	-96.50760	652210.772	1177179.755	-0.659
1271067822.26100	pano_000000_000001	55.7164329	12.5808133	35.432	1.76651	-1.31266	-96.36005	652213.936	1177180.127	-0.608
1271067823.08600	pano_000000_000002	55.7164413	12.5809709	35.699	1.41564	-2.76155	-95.85368	652223.832	1177181.177	-0.341
1271067823.92600	pano_000000_000003	55.7164489	12.5811287	36.214	0.69490	-3.79381	-95.49967	652233.738	1177182.147	0.174
1271067824.79600	pano_000000_000004	55.7164558	12.5812867	36.850	-0.19080	-4.01225	-95.17670	652243.659	1177183.031	0.811
1271067825.70200	pano_000000_000005	55.7164626	12.5814449	37.512	-0.59762	-3.98032	-95.36838	652253.589	1177183.907	1.473
1271067826.67200	pano_000000_000006	55.7164703	12.5816027	38.181	-0.49936	-4.01449	-96.04655	652263.497	1177184.884	2.142
1271067827.71700	pano_000000_000007	55.7164790	12.5817605	38.853	-0.41618	-4.08849	-96.59796	652273.407	1177185.974	2.813
1271067828.77100	pano_000000_000008	55.7164878	12.5819191	39.497	-0.05733	-4.26056	-95.31607	652283.358	1177187.073	3.458
1271067829.78100	pano_000000_000009	55.7164922	12.5820793	40.124	-0.38906	-3.70226	-90.94737	652293.424	1177187.679	4.085
1271067830.82600	pano_000000_000010	55.7164888	12.5822398	40.662	-0.87512	-2.53206	-85.66513	652303.510	1177187.424	4.624
1271067831.95100	pano_000000_000011	55.7164772	12.5823990	41.049	-0.63816	-1.64474	-80.56621	652313.530	1177186.249	5.011
1271067833.14600	pano_000000_000012	55.7164581	12.5825558	41.319	-1.36568	-0.76405	-76.74808	652323.414	1177184.246	5.280
1271067834.90200	pano_000000_000013	55.7164330	12.5827099	41.429	-1.34593	0.37221	-72.06220	652333.131	1177181.566	5.391
1271067842.24300	pano_000000_000014	55.7164002	12.5828586	41.344	-1.57024	0.87171	-67.27311	652342.522	1177178.029	5.306
1271067865.85900	pano_000000_000015	55.7163607	12.5830027	41.182	-1.25934	-0.08541	-62.14604	652351.631	1177173.741	5.145
1271067867.35400	pano_000000_000016	55.7163142	12.5831410	41.051	-0.87212	0.44144	-56.57528	652360.385	1177168.666	5.013
1271067868.83900	pano_000000_000017	55.7162604	12.5832703	40.926	-1.69865	0.86119	-52.42730	652368.578	1177162.770	4.889
1271067870.35000	pano_000000_000018	55.7162022	12.5833928	40.778	-0.98529	0.64299	-47.60001	652376.359	1177156.382	4.741
1271067871.87500	pano_000000_000019	55.7161376	12.5835051	40.635	-1.64784	0.59958	-43.14491	652383.501	1177149.280	4.597
1271067873.30500	pano_000000_000020	55.7160694	12.5836097	40.506	-1.84514	-0.08005	-40.05941	652390.164	1177141.770	4.469
1271067874.67100	pano_000000_000021	55.7159980	12.5837080	40.422	-1.97381	0.15756	-36.92726	652396.441	1177133.894	4.385
1271067875.95100	pano_000000_000022	55.7159237	12.5837998	40.349	-1.26613	0.50633	-33.73293	652402.310	1177125.687	4.311
1271067877.18100	pano_000000_000023	55.7158467	12.5838828	40.300	-1.75574	0.22665	-30.49565	652407.624	1177117.178	4.263
1271067878.66700	pano_000000_000024	55.7157676	12.5839582	40.284	-1.99282	-0.75598	-28.07670	652412.471	1177108.425	4.247
1271067879.93200	pano_000000_000025	55.7156876	12.5840322	40.311	-1.86951	-0.75148	-28.44683	652417.230	1177099.579	4.274
1271067880.98200	pano_000000_000026	55.7156078	12.5841062	40.334	-0.70789	-0.77379	-27.53296	652421.984	1177090.750	4.297
1271067881.91700	pano_000000_000027	55.7155266	12.5841773	40.335	-1.59533	-0.32067	-27.30080	652426.563	1177081.768	4.299
1271067882.80300	pano_000000_000028	55.7154464	12.5842493	40.339	-0.95480	-0.30265	-27.84883	652431.198	1177072.891	4.302
1271067883.67800	pano_000000_000029	55.7153665	12.5843228	40.323	-0.89438	0.31730	-28.44082	652435.923	1177064.049	4.287
1271067884.56800	pano_000000_000030	55.7152870	12.5843973	40.300	-0.64220	-0.06044	-28.42927	652440.709	1177055.251	4.263
1271067885.48800	pano_000000_000031	55.7152067	12.5844710	40.318	-1.01097	0.51952	-27.99384	652445.452	1177046.370	4.282
1271067886.47800	pano_000000_000032	55.7151266	12.5845433	40.282	-1.14272	-0.50667	-27.49904	652450.103	1177037.512	4.245
1271067887.44900	pano_000000_000033	55.7150460	12.5846147	40.304	-1.11705	-0.46882	-27.28705	652454.698	1177028.595	4.267
1271067888.33900	pano_000000_000034	55.7149654	12.5846863	40.285	-1.19905	-0.58475	-27.37270	652459.304	1177019.669	4.249
1271067889.16900	pano_000000_000035	55.7148851	12.5847586	40.317	-0.51406	-0.52824	-27.81264	652463.954	1177010.786	4.281
1271067889.97400	pano_000000_000036	55.7148045	12.5848304	40.294	-1.69476	-0.41667	-27.57889	652468.577	1177001.872	4.258
1271067890.76900	pano_000000_000037	55.7147241	12.5849023	40.341	-1.25058	-0.40821	-27.35480	652473.203	1176992.975	4.305
1271067891.56400	pano_000000_000038	55.7146432	12.5849739	40.339	-1.66731	0.39357	-27.55081	652477.815	1176984.014	4.303
1271067892.36000	pano_000000_000039	55.7145631	12.5850458	40.306	-1.21945	-0.38998	-27.54639	652482.441	1176975.155	4.270
1271067893.16500	pano_000000_000040	55.7144825	12.5851185	40.307	-1.25193	-0.09697	-27.83828	652487.116	1176966.232	4.271
1271067893.96000	pano_000000_000041	55.7144022	12.5851912	40.291	-1.20317	-0.43482	-27.69708	652491.791	1176957.352	4.255
1271067894.74500	pano_000000_000042	55.7143219	12.5852637	40.320	-0.84208	-0.00486	-27.69746	652496.456	1176948.472	4.284
1271067895.52000	pano_000000_000043	55.7142415	12.5853356	40.263	-1.87451	-0.62051	-27.89827	652501.081	1176939.574	4.227
1271067896.28600	pano_000000_000044	55.7141610	12.5854091	40.307	-1.62621	-0.30048	-28.05388	652505.811	1176930.669	4.271
1271067897.03600	pano_000000_000045	55.7140809	12.5854817	40.285	-2.40853	-0.36360	-27.85890	652510.479	1176921.807	4.250
1271067897.78100	pano_000000_000046	55.7140005	12.5855545	40.306	-1.83055	-0.28179	-27.60335	652515.163	1176912.900	4.271
1271067898.52600	pano_000000_000047	55.7139199	12.5856268	40.301	-1.85104	0.30070	-27.66230	652519.817	1176903.992	4.266
1271067899.28100	pano_000000_000048	55.7138395	12.5856988	40.297	-2.08241	-0.24241	-27.63981	652524.448	1176895.091	4.262
