#0:imgID,1:Uniqe_id,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:AcquisitionTime,9:projectedX,10:projectedY,11:projectedZ,12:Region,13:Roll_Original,14:Pitch_Original
pano_000000_000000,pano_000000_000000-50100,Pegasus,55.7164299,12.5807628,35.381,0,0,-96.50760,2020-04-16 10:23:24.000000,652210.772,1177179.755,-0.659,NykoebingF-Sydmotorvejen,1.51045,-0.94557
pano_000000_000001,pano_000000_000001-50100,Pegasus,55.7164329,12.5808133,35.432,0,0,-96.36005,2020-04-16 10:23:24.000000,652213.936,1177180.127,-0.608,NykoebingF-Sydmotorvejen,1.76651,-1.31266
pano_000000_000002,pano_000000_000002-50100,Pegasus,55.7164413,12.5809709,35.699,0,0,-95.85368,2020-04-16 10:23:25.000000,652223.832,1177181.177,-0.341,NykoebingF-Sydmotorvejen,1.41564,-2.76155
pano_000000_000003,pano_000000_000003-50100,Pegasus,55.7164489,12.5811287,36.214,0,0,-95.49967,2020-04-16 10:23:25.000000,652233.738,1177182.147,0.174,NykoebingF-Sydmotorvejen,0.69490,-3.79381
pano_000000_000004,pano_000000_000004-50100,Pegasus,55.7164558,12.5812867,36.850,0,0,-95.17670,2020-04-16 10:23:26.000000,652243.659,1177183.031,0.811,NykoebingF-Sydmotorvejen,-0.19080,-4.01225
pano_000000_000005,pano_000000_000005-50100,Pegasus,55.7164626,12.5814449,37.512,0,0,-95.36838,2020-04-16 10:23:27.000000,652253.589,1177183.907,1.473,NykoebingF-Sydmotorvejen,-0.59762,-3.98032
pano_000000_000006,pano_000000_000006-50100,Pegasus,55.7164703,12.5816027,38.181,0,0,-96.04655,2020-04-16 10:23:28.000000,652263.497,1177184.884,2.142,NykoebingF-Sydmotorvejen,-0.49936,-4.01449
pano_000000_000007,pano_000000_000007-50100,Pegasus,55.7164790,12.5817605,38.853,0,0,-96.59796,2020-04-16 10:23:29.000000,652273.407,1177185.974,2.813,NykoebingF-Sydmotorvejen,-0.41618,-4.08849
pano_000000_000008,pano_000000_000008-50100,Pegasus,55.7164878,12.5819191,39.497,0,0,-95.31607,2020-04-16 10:23:30.000000,652283.358,1177187.073,3.458,NykoebingF-Sydmotorvejen,-0.05733,-4.26056
pano_000000_000009,pano_000000_000009-50100,Pegasus,55.7164922,12.5820793,40.124,0,0,-90.94737,2020-04-16 10:23:31.000000,652293.424,1177187.679,4.085,NykoebingF-Sydmotorvejen,-0.38906,-3.70226
pano_000000_000010,pano_000000_000010-50100,Pegasus,55.7164888,12.5822398,40.662,0,0,-85.66513,2020-04-16 10:23:32.000000,652303.510,1177187.424,4.624,NykoebingF-Sydmotorvejen,-0.87512,-2.53206
pano_000000_000011,pano_000000_000011-50100,Pegasus,55.7164772,12.5823990,41.049,0,0,-80.56621,2020-04-16 10:23:33.000000,652313.530,1177186.249,5.011,NykoebingF-Sydmotorvejen,-0.63816,-1.64474
pano_000000_000012,pano_000000_000012-50100,Pegasus,55.7164581,12.5825558,41.319,0,0,-76.74808,2020-04-16 10:23:35.000000,652323.414,1177184.246,5.280,NykoebingF-Sydmotorvejen,-1.36568,-0.76405
pano_000000_000013,pano_000000_000013-50100,Pegasus,55.7164330,12.5827099,41.429,0,0,-72.06220,2020-04-16 10:23:36.000000,652333.131,1177181.566,5.391,NykoebingF-Sydmotorvejen,-1.34593,0.37221
